Municipios;Populacao
Tanabi;24055
Tapiraí;8012
Tapiratiba;12737
Taquaral;2726
Taquaritinga;53988
Taquarituba;22291
Taquarivaí;5151
Tarabai;6607
Tarumã;12885
Tatuí;107326
Taubaté;278686
Tejupá;4809
Teodoro Sampaio;21386
Terra Roxa;8505
Tietê;36835
Timburi;2646
Torre de Pedra;2254
Torrinha;9330
Trabiju;1544
Tremembé;40984
Três Fronteiras;5427
Tuiuti;5930
Tupã;63476
Tupi Paulista;14269
Turiúba;1930
Turmalina;1978
Ubarana;5289
Ubatuba;78801
Ubirajara;4427
Uchoa;9471
União Paulista;1599
Urânia;8836
Uru;1251
Urupês;12714
Valentim Gentil;11036
Valinhos;106793
Valparaíso;22576
Vargem;8801
Vargem Grande do Sul;39266
Vargem Grande Paulista;42997
Várzea Paulista;107089
Vera Cruz;10769
Vinhedo;63611
Viradouro;17297
Vista Alegre do Alto;6886
Vitória Brasil;1737
Votorantim;108809
Votuporanga;84692
Zacarias;2335
